firstName	lastName	bio	birth	death	image	nid
Abaye	NULL	Rabbi of the Jewish Talmud	NULL	339	abaye[1].gif	186690
Francis Ellington	Abbot	Theologian, Unitarian Minister	1836	1903	NULL	186691
John 	Abbott, fully John Stevens Cabot Abbott	American Historian, Pastor and Pedagogical Writer	1805	1877	JohnStevens-CabotAbbott-68-s[1].jpg	186692
Kareem 	Abdul-Jabbar, born Ferdinand Lewis "Lew" Alcinder, Jr.	American Basketball Player, Coach, Actor and Author.  NBA all-time leading scorer	1947	NULL	Kareem-Abdul-Jabbar_Lipofsky[1].jpg	186695
John	Abercrombie	Benedictine Monk executed for his Roman Catholicism	fl. 1561	NULL	monk_benedictine_100[1].jpg	186697
Isaac	Aboab de Fonesca	Jewish Talmudic Scholar, Kabbalist and Writer	1605	1693	250px-Isaac_Aboab_Fonseca[1].jpg	186698
Israel	Abrahams	Jewish Scholar	1858	1925	12155-Israel_Abrahams_biography[1].jpg	186699
David	Abrahamsen	Norwegian Forensic Psychiatrist, Psychoanalyst and Author	1903	2002	abrahamsendavid[1].jpg	186700
Yehezkel	Abramsky, aka Reb Chatzkel Abramsky	Russian (Belarus-born) English Orthodox Rabbi and Scholar	1886	1976	Rav%20Yehezkel%20Abramsky-2[1].jpg	186701
Isaac	Abravanel, fully Don Itshak ben Yehouda Abravanel	Rabbi, Statesman, Philosopher, Biblical Commentator and Financial Jew	1437	1508	220px-Isaac_Abrabanel[1].jpg	186702
Lord 	Acton, John Emerich Dalberg-Acton	English Liberal Historian, Moralist, Politician and Writer	1834	1902	lordacton[1].jpg	186705
Thomas	Adam	English Church of England Clergyman and Religious Writer	1701	1784	jenew[1].jpg	186706
Abigail	Adams	Prolific Letter Writer	1744	1818	Abigail-Adams-9175670-1-402[1].jpg	186707
Brian	Adam	Scottish National Party of the Scottish Parliament for Aberdeen North	1948	NULL	brian_adam[1].jpg	186708
Charles Francis	Adams II	American Civil War General and President of the Union Pacific Railroad	1835	1915	20071211155247[1].jpg	186709
Charles Kendall	Adams	American Educator and Historian, President of Cornell University and President of the University of Wisconsin	1835	1902	charles-kendall-adams-avatar-4465[1].jpg	186710
Douglas 	Adams, fully Douglas Noel Adams	English Writer and Dramatist. Best known for "The Hitchhiker's Guide to the Galaxy"	1952	2001	240px-Douglas_adams_portrait_cropped[1].jpg	186711
Franklin Pierce	Adams, pen name F.P.A.	American Journalist, Humorist, Newspaper Columnist	1881	1960	Franklin%20Pierce%20Adams-8x6[1].jpg	186712
George Matthew	Adams	Newspaper Columnist, Author, Writer, Philosopher and Publisher who founded the Adams Newspaper Service	1878	1962	Famous%20Visitor%3B%20George%20Matthew%20Adams,%20author%20columnist%207x9%20300dpi%2017mb%20j%20AHM[1].jpg	186713
Henry	Adams, aka Henry Brooks Adams	American Journalist, Historian, Academic and Novelist	1838	1918	AdamsHenryThm[1].jpg	186715
Phillip	Adams	NULL	NULL	NULL	risk[1].jpg	186719
Thomas	Adams	English Clergyman and Reputed Preacher, called "The Shakespeare of the Puritans" by Robert Southey	1583	1652	160833~The-Miser-Posters[1].jpg	186720
William Taylor	Adams, pseudonym Oliver Optic	American Author, Teacher, Politician, Member of the Massachusetts House of Representatives	1822	1897	31969569_122857839846[1].jpg	186721
Mortimer	Adler and Charles Van Doren	American Lexicographers	NULL	NULL	md0671212095[1].jpg	186725
Aesop	NULL	Greek Fabulist	c. 620 B.C.	560 B.C.	Aesop-WC-9176935-1-402[1].jpg	186728
Pope Agapet II, aka Pope Agapetus II	NULL	Italian Pope	NULL	955	Agapito_II[1].jpg	186729
Herbert Sebastian	Agar	American Pulitzer Prize Winning Journalist and Editor of the Louisville Courier-Journal	1897	1980	herbert-agar--900--t-600x600-rw[1].jpg	186730
Agathon	NULL	Greek Poet	448 B.C.	400 B.C.	agathon[1].jpg	186731
James 	Agee, fully James Rufus Agee	American Author, Poet, Nobel Prize Winner	1909	1955	220px-James_Agee_1937[1].jpg	186732
Agesilaus the Great	NULL	King of Sparta	c. 444 B.C.	360 B.C.	ArchidamusII[1].jpg	186733
Agnon Schmuel Yoseph 	Agnon, pseudonym of Samuel Joseph Czaczkes	Israeli Writer, Novelist, Shared Nobel Prize in Literature	1888	1970	8228070_1072975093[1].jpg	186734
Agus 	Salim, or Agus Hadji 	Indonesian Nationalist, one of Indonesia's Founding Fathers and Prominent Diplomats	1884	1954	haji+agus+salim[1].jpg	186735
Ahad 	HaAm, pen name, born Asher Zvi Hirsch Ginsberg	Hebrew Essayist, Zionist	1856	1927	ahad-haam[1].gif	186736
Ahikar or Ahiqar	NULL	Assyrian Sage known for his Wisdom, Folktale of Babylonian or Persian Origin known as The Story of Ahikar or The Words of Ahikar found in an Aramaic Papyrus among the ruins of Elephantine	704	681 B.C.	histoire-et-sagesse-d-ahikar-l-assyrien[1].jpg	186737
George	Aiken, fully George David Aiken	American Politician, Governor of Vermont, U.S. Senator, at the time of his retirement, Aiken was the most senior member of the Senate	1892	1984	99.51[1].jpg	186738
John	Aiken or Aikin	English Biographer, Doctor and Writer	1747	1822	220px-JohnAikin[1].jpg	186739
Louis-Aimé	Martin	French Writer	1781	1844	Louis_Aim%C3%A9_Maillart[1].jpg	186740
Rabbi Akiva, fully Rebbe Akiva ben Yosef	NULL	Jewish Sage, Founder of Rabbinic Judaism, , referred to in the Talmud as "Rosh la-Chachamim" (Head of all the Sages)	c. 40	c. 137	title[1].gif	186742
Shlomo	Wolbe, aka Wilhelm Wolbe	German-born Israeli Haredi Rabbi and Author, best know for Alei Shur	1914	2005	r_s_z-small[1].jpg	186743
Albertano of Brescia	NULL	Author of Latin Social Treaties and Sermons	c. 1195	c.1251	K1[1].jpg	186744
Alan	Alda, born Alphonso Joseph D'Abruzzo	American Actor, Author, Activist, Director, Screenwriter, Five-time Emmy Award and Six-time Golden Globe Award winner, known for role as Hawkeye Pierce in  TV series M*A*S*H 	1936	NULL	alda5[1].jpeg	186747
Thomas Bailey	Aldrich	American Author, Poet, Playwright, Novelist, Travel Writer and Editor	1836	1907	thomas_bailey_aldrich[1].jpg	186748
Winthrop Williams	Aldrich	American Banker and Financier, U.S. Ambassador to the United Kingdom	1885	1974	Winthrop-W-Aldrich[1].jpg	186749
Samuel	Alexander	Australian-born British Philosopher, first Jewish Fellow of an Oxbridge College	1859	1938	200px-SamuelAlexander[1].gif	186752
Shana	Alexander, fully Shana Agar Alexander	American Journalist, Staff Writer and Columnist for Life Magazine, best known for participation in "Point-Counterpoint" debate segments of 60 Minutes	1925	2005	image703945x[1].jpg	186753
Mateo	Alemán, fully Mateo Alemán y de Enero	Spanish Novelist, wrote Guzmán de Alfarache	1547	c. 1615	thumb_person-mateo-aleman-y-de-enero.140x140_q95_box-28,31,271,274[1].jpg	186754
